"date","value"
"2020-01-02",6272
"2020-01-09",6432
"2020-01-16",6573
"2020-01-23",6432
"2020-01-30",6526
"2020-02-06",6505
"2020-02-13",6740
"2020-02-20",6703
"2020-02-27",6512
"2020-03-05",6313
"2020-03-12",6192
"2020-03-19",4061
"2020-03-26",3880
"2020-04-02",4254
"2020-04-09",3913
"2020-04-16",4531
"2020-04-23",4735
"2020-04-30",4974
"2020-05-07",5610
"2020-05-14",6494
"2020-05-21",6437
"2020-05-28",6553
"2020-06-04",6700
"2020-06-11",6897
"2020-06-18",7014
"2020-06-25",7109
"2020-07-02",7224
"2020-07-09",7174
"2020-07-16",7103
"2020-07-23",6930
"2020-07-30",6615
"2020-08-06",7178
"2020-08-13",7227
"2020-08-20",7430
"2020-08-27",7143
"2020-09-03",7243
"2020-09-10",7377
"2020-09-17",7450
"2020-09-24",7339
"2020-10-01",7526
"2020-10-08",7315
"2020-10-15",7280
"2020-10-22",6973
"2020-10-29",6870
"2020-11-05",6614
"2020-11-12",6898
"2020-11-19",7174
"2020-11-26",7862
"2020-12-03",7478
"2020-12-10",7505
"2020-12-17",7945
"2020-12-24",5346
